symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2017-04-28 00:00:00+00:00,143.65,144.3,143.27,144.09,20247187,33.9452144675,34.098812723,33.8554185643,34.0491886713,80988748,0.0,1.0
AAPL,2017-05-01 00:00:00+00:00,146.58,147.2,144.96,145.1,32818760,34.6375881424,34.7840972476,34.2547740286,34.2878567298,131275040,0.0,1.0
AAPL,2017-05-02 00:00:00+00:00,147.51,148.09,146.84,147.54,39752670,34.8573518002,34.9944087052,34.6990274446,34.8644409505,159010680,0.0,1.0
AAPL,2017-05-03 00:00:00+00:00,147.06,147.49,144.27,145.59,45142806,34.7510145464,34.8526257001,34.0917235728,34.403646184,180571224,0.0,1.0
AAPL,2017-05-04 00:00:00+00:00,146.53,147.14,145.81,146.52,23275690,34.6257728919,34.7699189471,34.4556332858,34.6234098418,93102760,0.0,1.0
AAPL,2017-05-05 00:00:00+00:00,148.96,148.98,146.76,146.76,26787359,35.1999940625,35.2047201627,34.6801230439,34.6801230439,107149436,0.0,1.0
AAPL,2017-05-08 00:00:00+00:00,153.01,153.7,149.03,149.03,48339210,36.1570293469,36.3200798027,35.2165354131,35.2165354131,193356840,0.0,1.0
AAPL,2017-05-09 00:00:00+00:00,153.99,154.88,153.45,153.87,35942435,36.3886082552,36.5989197127,36.2610035506,36.3602516541,143769740,0.0,1.0
AAPL,2017-05-10 00:00:00+00:00,153.26,153.94,152.11,153.63,25670456,36.216105599,36.3767930047,35.9443548392,36.3035384521,102681824,0.0,1.0
AAPL,2017-05-11 00:00:00+00:00,153.95,154.07,152.31,152.45,25596687,36.5280282102,36.5565008531,36.1389020896,36.172120173,102386748,0.63,1.0
AAPL,2017-05-12 00:00:00+00:00,156.1,156.42,154.67,154.7,32221756,37.0381630634,37.1140901113,36.698864068,36.7059822287,128887024,0.0,1.0
AAPL,2017-05-15 00:00:00+00:00,155.7,156.65,155.05,156.01,25700983,36.9432542535,37.168662677,36.7890274374,37.0168085811,102803932,0.0,1.0
AAPL,2017-05-16 00:00:00+00:00,155.47,156.06,154.72,155.94,19904679,36.8886816878,37.0286721824,36.7107276692,37.0001995394,79618716,0.0,1.0
AAPL,2017-05-17 00:00:00+00:00,150.25,154.57,149.71,153.6,49482818,35.6501217186,36.6751368655,35.5219948252,36.4449830015,197931272,0.0,1.0
